V_TRI_SUBMISSION_NAICS.INDUSTRY_CODE,V_TRI_SUBMISSION_NAICS.INDUSTRY_DESCRIPTION,V_TRI_SUBMISSION_NAICS.NAICS_CODES,TRI_FACILITY.TRI_FACILITY_ID,TRI_FACILITY.STATE_ABBR,V_TRI_FORM_R_BR_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.STATE_ABBR,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.INDUSTRY_CODE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.UNINJ_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.PRIMARY_NAICS_CODE
331,Primary Metals,331491332813331222,46809LBCLL3618W,IN,46809LBCLL3618W,2015,IN,0,331,0,0,0,0,0,0,331491
325,Chemicals,325193,4310WSBLMN3979S,OH,4310WSBLMN3979S,2015,OH,80,325,0,0,80,80,0,0,325193
336,Transportation Equipment,336111,4881WSPRTN1663R,MI,4881WSPRTN1663R,2015,MI,1253,336,0,0,1253,1253,0,0,336111
339,Miscellaneous Manufacturing,339991,46507KWNRR1151B,IN,46507KWNRR1151B,2015,IN,0,339,0,7,7,0,0,0,339991
331,Primary Metals,331512,53120WSCNS405HW,WI,53120WSCNS405HW,2015,WI,2.7,331,0,12250,12252.7,2.7,0,0,331512
336,Transportation Equipment,336112,48551GMCTRG3100,MI,48551GMCTRG3100,2015,MI,4,336,0,1030,1034,4,0,0,336112
336,Transportation Equipment,336112,48551GMCTRG3100,MI,48551GMCTRG3100,2015,MI,22460,336,0,0,22460,22460,0,0,336112
325,Chemicals,325199325211325320,48667THDWCMICHI,MI,48667THDWCMICHI,2015,MI,.0006123,325,5.4808414,0,5.4843229,5.4843229,0,.0028692,325199
332,Fabricated Metals,332722,44036TRWNC7900W,OH,44036TRWNC7900W,2015,OH,5,332,0,0,5,5,0,0,332722
335,Electrical Equipment,335912,53901RYVCC2851P,WI,53901RYVCC2851P,2015,WI,.00069,335,0,1.07,1.07069,.00069,0,0,335912
331,Primary Metals,331221,44646LTVST401RO,OH,44646LTVST401RO,2015,OH,0,331,0,1580,1580,0,0,0,331221
331,Primary Metals,331511,49245CLHNF506SC,MI,49245CLHNF506SC,2015,MI,19.26,331,0,1988.74,2008,19.26,0,0,331511
336,Transportation Equipment,336111336370,48917GNRLM85REL,MI,48917GNRLM85REL,2015,MI,160,336,0,168,328.3,160.3,0,.3,336111
327,Nonmetallic Mineral Product,327910,61327XLNCXRRIBO,IL,61327XLNCXRRIBO,2015,IL,3082.744,327,0,0,3082.744,3082.744,0,0,327910
324,Petroleum,324110,46394MCLCX2815I,IN,46394MCLCX2815I,2015,IN,8300,324,0,5160,13580,8420,0,120,324110
332,Fabricated Metals,332999,6283WGSGRP151WN,IL,6283WGSGRP151WN,2015,IL,10,332,0,5,15,10,0,0,332999
333,Machinery,333924,45869CRWNX4044S,OH,45869CRWNX4044S,2015,OH,.556,333,0,0,.556,.556,0,0,333924
324,Petroleum,324199,44482LTVST2234M,OH,44482LTVST2234M,2015,OH,8.39,324,0,0,8.39,8.39,0,0,324199
332,Fabricated Metals,332812,45308PRDCT140CE,OH,45308PRDCT140CE,2015,OH,0,332,0,0,0,0,0,0,332812
325,Chemicals,325998327910326121325613562211,55016MCHMLHIGHW,MN,55016MCHMLHIGHW,2015,MN,241,325,0,0,241,241,0,0,325998
325,Chemicals,325510,48390FNSHT4205M,MI,48390FNSHT4205M,2015,MI,643,325,0,1057,1700,643,0,0,325510
332,Fabricated Metals,332812,46552DCTLT30350,IN,46552DCTLT30350,2015,IN,0,332,0,765.9214,765.9214,0,0,0,332812
337,Furniture,337127,53154BYVWN7821S,WI,53154BYVWN7821S,2015,WI,11090,337,0,0,11090,11090,0,0,337127
331,Primary Metals,331110,47635KSTLC6500N,IN,47635KSTLC6500N,2015,IN,0,331,0,0,0,0,0,0,331110
331,Primary Metals,331523,47421GMCCNNORTH,IN,47421GMCCNNORTH,2015,IN,20.09,331,0,31.35,51.87,20.52,0,.43,331523
331,Primary Metals,331314,53081JLFRN4243G,WI,53081JLFRN4243G,2015,WI,643.59,331,0,90.4992,734.0892,643.59,0,0,331314
331,Primary Metals,331314,53081JLFRN4243G,WI,53081JLFRN4243G,2015,WI,303,331,0,50378,50681,303,0,0,331314
311,Food,311224,62306QNCYS1900G,IL,62306QNCYS1900G,2015,IL,7.38,311,0,414.14,421.52,7.38,0,0,311224
327,Nonmetallic Mineral Product,327320,6044WWLLBR1133M,IL,6044WWLLBR1133M,2015,IL,0,327,0,0,0,0,0,0,327320
331,Primary Metals,331511,53522RQSFNHWYMA,WI,53522RQSFNHWYMA,2015,WI,802,331,0,7230,8032,802,0,0,331511
331,Primary Metals,331523,44657MNRVL217RO,OH,44657MNRVL217RO,2015,OH,151.64,331,0,6378.31,6529.95,151.64,0,0,331523
331,Primary Metals,331523,44657MNRVL217RO,OH,44657MNRVL217RO,2015,OH,.32,331,0,13.45,13.77,.32,0,0,331523
333,Machinery,333415,48858THDLF980SO,MI,48858THDLF980SO,2015,MI,0,333,0,0,0,0,0,,333415
331,Primary Metals,331110,46312NLNDS3210W,IN,46312NLNDS3210W,2015,IN,60100,331,0,0,60100,60100,0,0,331110
331,Primary Metals,331110,46312NLNDS3210W,IN,46312NLNDS3210W,2015,IN,143,331,0,19170,19313,143,0,0,331110
331,Primary Metals,331110,46312NLNDS3210W,IN,46312NLNDS3210W,2015,IN,0,331,0,0,160,160,0,160,331110
326,Plastics and Rubber,326199332321,46721THRMTREJON,IN,46721THRMTREJON,2015,IN,.77,326,0,0,.77,.77,0,0,326199
325,Chemicals,325998311942,44270MRTNS151SI,OH,44270MRTNS151SI,2015,OH,129483,325,0,0,129483,129483,0,0,325998
327,Nonmetallic Mineral Product,327211327215,43460LBBYW140DI,OH,43460LBBYW140DI,2015,OH,0,327,0,0,0,0,0,,327211
332,Fabricated Metals,332813,60650CJSPR3119S,IL,60650CJSPR3119S,2015,IL,13,332,0,15788,15801,13,0,0,332813
325,Chemicals,325211,6041WMRCSS26332,IL,6041WMRCSS26332,2015,IL,986.8,325,0,0,986.8,986.8,0,0,325211
335,Electrical Equipment,335991,44830NTNLL200NO,OH,44830NTNLL200NO,2015,OH,22.2,335,0,820,842.2,22.2,0,0,335991
322,Paper,322220,44653MCHNRGUNDY,OH,44653MCHNRGUNDY,2015,OH,535.76,322,0,0,535.76,535.76,0,0,322220
325,Chemicals,325910,44077BRNTL830EE,OH,44077BRNTL830EE,2015,OH,2.9,325,0,1373.8,1376.7,2.9,0,0,325910
325,Chemicals,325910,44077BRNTL830EE,OH,44077BRNTL830EE,2015,OH,43.3,325,0,198.07,251.27,53.2,0,9.9,325910
325,Chemicals,325998325180325199,44622DVRCHWESTF,OH,44622DVRCHWESTF,2015,OH,2999.5,325,0,0,2999.5,2999.5,0,0,325998
327,Nonmetallic Mineral Product,327320,6040WVCNPR19515,IL,6040WVCNPR19515,2015,IL,.0085245,327,0,0,.0085245,.0085245,0,0,327320
325,Chemicals,325199,61547LNZNCUSROU,IL,61547LNZNCUSROU,2015,IL,0,325,0,0,0,0,0,,325199
324,Petroleum,324110,60439NCLCR135TH,IL,60439NCLCR135TH,2015,IL,10658,324,0,3,10704,10701,0,43,324110
332,Fabricated Metals,332431,43571MRCNN10444,OH,43571MRCNN10444,2015,OH,38284,332,0,0,38284,38284,0,0,332431
339,Miscellaneous Manufacturing,339920,47374CHMPN232IN,IN,47374CHMPN232IN,2015,IN,0,339,0,19.86,19.86,0,0,0,339920
331,Primary Metals,331524,61602CSTTC1100S,IL,61602CSTTC1100S,2015,IL,4,331,0,0,4,4,0,0,331524
326,Plastics and Rubber,326299326199,48427MDWST3525R,MI,48427MDWST3525R,2015,MI,0,326,0,0,0,0,0,0,326299
333,Machinery,333415,53223PRLCK8300W,WI,53223PRLCK8300W,2015,WI,2,333,0,121,123,2,0,0,333415
321,Wood Products,321999,53179GLBLT26112,WI,53179GLBLT26112,2015,WI,0,321,0,0,0,0,0,0,321999
336,Transportation Equipment,336370,48183FRDMT20900,MI,48183FRDMT20900,2015,MI,56,336,0,0,56,56,0,0,336370
325,Chemicals,325194,45636RSTCHRT52A,OH,45636RSTCHRT52A,2015,OH,829,325,110,328000,328982,982,0,43,325194
325,Chemicals,325510332813323111,60411CTDFL500ST,IL,60411CTDFL500ST,2015,IL,4292,325,0,114,4406,4292,0,0,325510
325,Chemicals,325612,60517CHMPN1840I,IL,60517CHMPN1840I,2015,IL,4365,325,0,0,4365,4365,0,0,325612
325,Chemicals,325193,5620WBSHML1725H,MN,5620WBSHML1725H,2015,MN,1117,325,0,0,1117,1117,0,0,325193
325,Chemicals,325193,5620WBSHML1725H,MN,5620WBSHML1725H,2015,MN,162,325,0,0,162,162,0,0,325193
325,Chemicals,325211,45418MNSNT1515N,OH,45418MNSNT1515N,2015,OH,662,325,0,0,662,662,0,0,325211
336,Transportation Equipment,336111336370,44482BCLRD2300H,OH,44482BCLRD2300H,2015,OH,250,336,0,820,1070,250,0,0,336111
331,Primary Metals,331110331221,48121RGSTL3001M,MI,48121RGSTL3001M,2015,MI,1275,331,0,787851,789126,1275,0,0,331110
322,Paper,322220,6102WPMRFL11EAS,IL,6102WPMRFL11EAS,2015,IL,35250,322,0,0,35500,35500,0,250,322220
332,Fabricated Metals,332618,55112WHLBR1950O,MN,55112WHLBR1950O,2015,MN,.59,332,0,0,.59,.59,0,0,332618
334,Computers and Electronic Products,334419,60090CRCTS1475S,IL,60090CRCTS1475S,2015,IL,0,334,0,0,0,0,0,0,334419
332,Fabricated Metals,332813332811,60101MRGNH701FA,IL,60101MRGNH701FA,2015,IL,965,332,0,17427,18392,965,0,0,332813
332,Fabricated Metals,332431,61068SLGNC400N1,IL,61068SLGNC400N1,2015,IL,174,332,0,0,174,174,0,0,332431
332,Fabricated Metals,332999,46514MRRYD1536G,IN,46514MRRYD1536G,2015,IN,0,332,0,1.505,1.505,0,0,0,332999
332,Fabricated Metals,332999332913333618327110,53044KHLRC444HI,WI,53044KHLRC444HI,2015,WI,0,332,0,270.63,274.89,4.26,0,4.26,332999
